Run,DriverType,JammedEncounters,,,,,,,,
0,AggressiveDriver,62,,,,,agressive,cautious,distracted,learning
0,CautiousDriver,31,,,,10 drivers,44.6,52.6,44.2,32.8
0,DistractedDriver,50,,,,,,,,
0,LearningDriver,21,,,,20 drivers,143.6,150.4,119.4,119.8
1,AggressiveDriver,26,,,,,,,,
1,CautiousDriver,54,,,,30 drivers,267.8,252.2,219.8,238.8
1,DistractedDriver,46,,,,,,,,
1,LearningDriver,23,,,,40 drivers,413.4,341.2,304.4,348.4
2,AggressiveDriver,58,,,,,,,,
2,CautiousDriver,98,,,,50 drivers,473.6,477.2,442.4,474.8
2,DistractedDriver,64,,,,,,,,
2,LearningDriver,8,,,,Average,268.6,254.72,226.04,242.92
3,AggressiveDriver,40,,,,,,,,
3,CautiousDriver,60,,,,,,,,
3,DistractedDriver,42,,,,,,,,
3,LearningDriver,40,,,,,,,,
4,AggressiveDriver,37,,,,,,,,
4,CautiousDriver,20,,,,,,,,
4,DistractedDriver,19,,,,,,,,
4,LearningDriver,72,,,,,,,,
5,AggressiveDriver,194,,,,,,,,
5,CautiousDriver,125,,,,,,,,
5,DistractedDriver,135,,,,,,,,
5,LearningDriver,172,,,,,,,,
6,AggressiveDriver,87,,,,,,,,
6,CautiousDriver,87,,,,,,,,
6,DistractedDriver,76,,,,,,,,
6,LearningDriver,107,,,,,,,,
7,AggressiveDriver,128,,,,,,,,
7,CautiousDriver,131,,,,,,,,
7,DistractedDriver,118,,,,,,,,
7,LearningDriver,111,,,,,,,,
8,AggressiveDriver,118,,,,,,,,
8,CautiousDriver,241,,,,,,,,
8,DistractedDriver,123,,,,,,,,
8,LearningDriver,106,,,,,,,,
9,AggressiveDriver,191,,,,,,,,
9,CautiousDriver,168,,,,,,,,
9,DistractedDriver,145,,,,,,,,
9,LearningDriver,103,,,,,,,,
10,AggressiveDriver,269,,,,,,,,
10,CautiousDriver,363,,,,,,,,
10,DistractedDriver,298,,,,,,,,
10,LearningDriver,157,,,,,,,,
11,AggressiveDriver,316,,,,,,,,
11,CautiousDriver,240,,,,,,,,
11,DistractedDriver,246,,,,,,,,
11,LearningDriver,203,,,,,,,,
12,AggressiveDriver,180,,,,,,,,
12,CautiousDriver,243,,,,,,,,
12,DistractedDriver,143,,,,,,,,
12,LearningDriver,279,,,,,,,,
13,AggressiveDriver,268,,,,,,,,
13,CautiousDriver,235,,,,,,,,
13,DistractedDriver,174,,,,,,,,
13,LearningDriver,266,,,,,,,,
14,AggressiveDriver,306,,,,,,,,
14,CautiousDriver,180,,,,,,,,
14,DistractedDriver,238,,,,,,,,
14,LearningDriver,289,,,,,,,,
15,AggressiveDriver,429,,,,,,,,
15,CautiousDriver,150,,,,,,,,
15,DistractedDriver,305,,,,,,,,
15,LearningDriver,389,,,,,,,,
16,AggressiveDriver,495,,,,,,,,
16,CautiousDriver,441,,,,,,,,
16,DistractedDriver,250,,,,,,,,
16,LearningDriver,295,,,,,,,,
17,AggressiveDriver,329,,,,,,,,
17,CautiousDriver,436,,,,,,,,
17,DistractedDriver,390,,,,,,,,
17,LearningDriver,311,,,,,,,,
18,AggressiveDriver,419,,,,,,,,
18,CautiousDriver,351,,,,,,,,
18,DistractedDriver,316,,,,,,,,
18,LearningDriver,396,,,,,,,,
19,AggressiveDriver,395,,,,,,,,
19,CautiousDriver,328,,,,,,,,
19,DistractedDriver,261,,,,,,,,
19,LearningDriver,351,,,,,,,,
20,AggressiveDriver,455,,,,,,,,
20,CautiousDriver,542,,,,,,,,
20,DistractedDriver,379,,,,,,,,
20,LearningDriver,468,,,,,,,,
21,AggressiveDriver,485,,,,,,,,
21,CautiousDriver,500,,,,,,,,
21,DistractedDriver,432,,,,,,,,
21,LearningDriver,526,,,,,,,,
22,AggressiveDriver,521,,,,,,,,
22,CautiousDriver,471,,,,,,,,
22,DistractedDriver,411,,,,,,,,
22,LearningDriver,428,,,,,,,,
23,AggressiveDriver,458,,,,,,,,
23,CautiousDriver,395,,,,,,,,
23,DistractedDriver,456,,,,,,,,
23,LearningDriver,497,,,,,,,,
24,AggressiveDriver,449,,,,,,,,
24,CautiousDriver,478,,,,,,,,
24,DistractedDriver,534,,,,,,,,
24,LearningDriver,455,,,,,,,,
