,Aggressive Advances,Cautious Advances,Distracted Advances,Learning Advances,Run,,,,,,
0,7,7,8,8,0,,,,,,
1,14,14,16,16,0,,,,,,
2,21,21,24,21,0,,,,,,
3,28,28,32,28,0,,,Aggressive ,Cautious,Distracted ,Learning 
4,35,35,40,35,0,,,49.361,53.6075,59.356,50.996
5,42,42,48,42,0,,,,,,
6,49,49,56,49,0,,,,,,
7,56,56,64,56,0,,,,,,
8,63,63,72,63,0,,,,,,
9,70,70,80,70,0,,,,,,
10,55,77,88,77,0,,,,,,
11,60,84,72,84,0,,,,,,
12,65,91,78,78,0,,,,,,
13,70,98,84,84,0,,,,,,
14,75,105,90,90,0,,,,,,
15,80,96,96,80,0,,,,,,
16,85,102,102,68,0,,,,,,
17,90,108,90,72,0,,,,,,
18,57,114,76,76,0,,,,,,
19,60,100,80,80,0,,,,,,
20,21,84,84,84,0,,,,,,
21,22,88,88,88,0,,,,,,
22,23,92,92,69,0,,,,,,
23,24,48,96,72,0,,,,,,
24,25,50,100,50,0,,,,,,
25,26,52,104,52,0,,,,,,
26,27,54,108,54,0,,,,,,
27,28,56,112,56,0,,,,,,
28,0,58,58,29,0,,,,,,
29,0,60,30,30,0,,,,,,
30,0,31,31,0,0,,,,,,
31,0,32,32,0,0,,,,,,
32,0,33,0,0,0,,,,,,
33,0,34,0,0,0,,,,,,
34,7,8,12,3,0,,,,,,
35,14,16,24,6,0,,,,,,
36,21,24,33,9,0,,,,,,
37,28,32,40,12,0,,,,,,
38,35,40,50,15,0,,,,,,
39,36,48,60,18,0,,,,,,
40,42,56,70,21,0,,,,,,
41,32,64,80,24,0,,,,,,
42,36,63,81,27,0,,,,,,
43,40,60,90,30,0,,,,,,
44,44,66,99,33,0,,,,,,
45,48,72,108,24,0,,,,,,
46,39,78,117,26,0,,,,,,
47,42,84,126,28,0,,,,,,
48,45,90,135,30,0,,,,,,
49,48,96,144,32,0,,,,,,
50,51,85,119,34,0,,,,,,
51,54,90,126,36,0,,,,,,
52,57,95,114,38,0,,,,,,
53,60,100,100,40,0,,,,,,
54,63,105,84,42,0,,,,,,
55,66,110,88,44,0,,,,,,
56,46,92,92,46,0,,,,,,
57,48,72,72,48,0,,,,,,
58,50,75,50,25,0,,,,,,
59,26,78,52,0,0,,,,,,
60,0,81,54,0,0,,,,,,
61,0,56,56,0,0,,,,,,
62,0,58,58,0,0,,,,,,
63,0,60,60,0,0,,,,,,
64,0,31,31,0,0,,,,,,
65,0,32,0,0,0,,,,,,
66,0,33,0,0,0,,,,,,
67,0,34,0,0,0,,,,,,
68,0,35,0,0,0,,,,,,
69,0,36,0,0,0,,,,,,
70,8,6,11,5,0,,,,,,
71,16,12,22,10,0,,,,,,
72,21,18,33,15,0,,,,,,
73,28,24,44,20,0,,,,,,
74,35,25,55,25,0,,,,,,
75,42,30,66,30,0,,,,,,
76,49,35,70,35,0,,,,,,
77,56,40,80,40,0,,,,,,
78,63,45,90,45,0,,,,,,
79,60,50,90,50,0,,,,,,
80,66,44,88,55,0,,,,,,
81,72,36,96,48,0,,,,,,
82,78,39,104,52,0,,,,,,
83,84,42,112,56,0,,,,,,
84,90,30,120,60,0,,,,,,
85,96,32,128,64,0,,,,,,
86,102,34,119,68,0,,,,,,
87,108,36,108,72,0,,,,,,
88,114,38,114,76,0,,,,,,
89,120,40,120,80,0,,,,,,
90,105,42,126,84,0,,,,,,
91,88,44,132,88,0,,,,,,
92,92,46,138,92,0,,,,,,
93,96,48,96,72,0,,,,,,
94,100,25,100,75,0,,,,,,
95,78,26,78,78,0,,,,,,
96,81,27,81,81,0,,,,,,
97,84,28,28,56,0,,,,,,
98,58,29,29,58,0,,,,,,
99,0,30,0,30,0,,,,,,
0,5,7,9,9,1,,,,,,
1,10,14,18,18,1,,,,,,
2,15,21,27,27,1,,,,,,
3,20,28,32,36,1,,,,,,
4,25,35,40,45,1,,,,,,
5,30,42,48,54,1,,,,,,
6,35,49,56,63,1,,,,,,
7,40,56,64,72,1,,,,,,
8,45,63,63,72,1,,,,,,
9,50,70,70,80,1,,,,,,
10,55,77,77,88,1,,,,,,
11,60,84,84,96,1,,,,,,
12,65,91,91,104,1,,,,,,
13,70,84,98,98,1,,,,,,
14,75,60,105,105,1,,,,,,
15,80,64,112,96,1,,,,,,
16,85,68,102,102,1,,,,,,
17,90,72,108,108,1,,,,,,
18,95,76,95,114,1,,,,,,
19,100,80,100,120,1,,,,,,
20,105,63,105,105,1,,,,,,
21,110,66,110,110,1,,,,,,
22,92,46,115,115,1,,,,,,
23,72,24,96,120,1,,,,,,
24,50,0,75,75,1,,,,,,
25,52,0,78,52,1,,,,,,
26,54,0,54,0,1,,,,,,
27,56,0,56,0,1,,,,,,
28,58,0,29,0,1,,,,,,
29,0,0,30,0,1,,,,,,
30,0,0,31,0,1,,,,,,
31,0,0,32,0,1,,,,,,
32,0,0,33,0,1,,,,,,
33,0,0,34,0,1,,,,,,
34,0,0,35,0,1,,,,,,
35,0,0,36,0,1,,,,,,
36,0,0,37,0,1,,,,,,
37,0,0,38,0,1,,,,,,
38,10,4,8,8,1,,,,,,
39,20,8,16,16,1,,,,,,
40,30,12,24,24,1,,,,,,
41,40,16,32,32,1,,,,,,
42,50,20,40,40,1,,,,,,
43,60,24,48,48,1,,,,,,
44,63,28,56,56,1,,,,,,
45,72,32,64,64,1,,,,,,
46,72,27,72,72,1,,,,,,
47,80,30,80,80,1,,,,,,
48,88,33,77,88,1,,,,,,
49,96,24,84,96,1,,,,,,
50,104,26,91,104,1,,,,,,
51,112,14,98,112,1,,,,,,
52,105,15,105,120,1,,,,,,
53,112,16,112,128,1,,,,,,
54,119,17,119,136,1,,,,,,
55,108,18,126,144,1,,,,,,
56,95,19,133,95,1,,,,,,
57,100,20,140,100,1,,,,,,
58,105,21,105,105,1,,,,,,
59,44,22,110,88,1,,,,,,
60,46,23,115,92,1,,,,,,
61,48,0,96,96,1,,,,,,
